line,type,imei,serial,fix_time,valid,latitude,longitude,speed,course,satellites,note
1,login,864317512311830,20,,,,,,,,
2,position,864317512311830,21,2026-07-14 09:57:53,1,15.7793750,66.0754533,45,62,8,
3,position,864317512311830,22,2026-07-14 09:43:02,0,15.7792633,66.0723417,143,162,1,
4,position,864317512311830,23,2026-07-14 09:51:05,1,15.7835222,66.0748556,165,324,5,
5,position,864317512311830,24,2026-07-14 09:17:11,1,15.7857706,66.0812361,97,329,13,
6,position,864317512311830,25,2026-07-14 09:38:11,1,15.7798644,66.0823706,166,232,8,
7,login,860771487108402,70,,,,,,,,
8,position,860771487108402,71,2026-07-14 09:03:11,1,7.7081422,68.0922478,179,12,4,
9,position,860771487108402,72,2026-07-14 09:24:04,1,7.7088211,68.0859150,170,155,4,
10,position,860771487108402,73,2026-07-14 09:43:56,1,7.7076167,68.0892828,40,274,4,"corrupted CRC: drop, no response, no row"
11,position,860771487108402,74,2026-07-14 09:06:10,1,7.7070044,68.0829089,155,223,13,
12,position,860771487108402,75,2026-07-14 09:34:17,1,7.7115817,68.0857606,175,345,0,
13,login,869769748939021,81,,,,,,,,
14,position,869769748939021,82,2026-07-14 09:08:43,1,8.6431678,-20.2522528,115,231,5,
15,position,869769748939021,83,2026-07-14 09:20:36,0,8.6417211,-20.2591083,158,317,7,
16,position,869769748939021,84,2026-07-14 09:24:43,1,8.6511078,-20.2504689,113,27,5,
17,position,869769748939021,85,2026-07-14 09:14:59,1,8.6560278,-20.2521444,180,93,12,
18,position,869769748939021,86,2026-07-14 09:05:55,1,8.6504156,-20.2477906,172,153,8,
19,position,869769748939021,86,2026-07-14 09:05:55,1,8.6504156,-20.2477906,172,153,8,"duplicate serial: respond again, store only once"
